date,state,unemployment_rate,percent_error
2022-01-01,Nevada,7.121292357919462,0.2
2022-01-01,New Hampshire,3.7865984945345956,0.2
2022-01-01,New Jersey,6.219618655041437,0.1
2022-01-01,New Mexico,6.588649184985272,0.3
2022-01-01,New York,6.230853180312565,0.1
2022-01-01,North Carolina,5.288379746581962,0.1
2022-01-01,North Dakota,3.190808324885841,0.2
2022-01-01,Ohio,5.289087442819564,0.1
2022-01-01,Oklahoma,4.988614257044738,0.1
2022-01-01,Oregon,5.6023020082538615,0.2
2022-01-01,Pennsylvania,5.499556126630715,0.1
2022-01-01,Puerto Rico,14.547414805834446,0.3
2022-01-01,Rhode Island,6.029086476490393,0.3
2022-01-01,South Carolina,5.286669319409218,0.1
2022-01-01,South Dakota,3.170549022772106,0.2
2022-01-01,Tennessee,5.288205321432129,0.1
2022-01-01,Texas,5.3949200421858565,0.1
2022-01-01,Utah,3.487884310415388,0.1
2022-01-01,Vermont,3.8959640002207787,0.3
2022-01-01,Virginia,4.592324540368916,0.1
2022-01-01,Washington,5.114469881156236,0.1
2022-01-01,West Virginia,6.383290610674041,0.2
2022-01-01,Wisconsin,3.487503996572539,0.1
2022-01-01,Wyoming,4.176467804368869,0.3
2022-02-01,Alabama,5.366611232229569,0.2
2022-02-01,Alaska,6.822616937239344,0.3
2022-02-01,Arizona,5.556247865944997,0.1
2022-02-01,Arkansas,5.293420972572646,0.2
2022-02-01,California,6.52663992820682,0.1
2022-02-01,Colorado,4.572609095033401,0.1
2022-02-01,Connecticut,6.096831279153689,0.2
2022-02-01,Delaware,5.6453341832226505,0.3
2022-02-01,District of Columbia,7.083434044921607,0.4
2022-02-01,Florida,5.269664243440838,0.1
2022-02-01,Georgia,5.46513580677294,0.1
2022-02-01,Hawaii,5.263579410629184,0.2
2022-02-01,Idaho,3.9597379866930424,0.2
2022-02-01,Illinois,6.203508617421183,0.1
2022-02-01,Indiana,4.686174422939289,0.1
2022-02-01,Iowa,3.8801930293288605,0.1
2022-02-01,Kansas,4.090454682523597,0.1
2022-02-01,Kentucky,5.278417630188676,0.1
2022-02-01,Louisiana,6.806147268071005,0.2
2022-02-01,Maine,4.217168869215401,0.2
2022-02-01,Maryland,5.290733419682757,0.1
2022-02-01,Massachusetts,5.414169767751993,0.1
2022-02-01,Michigan,6.205135527127598,0.1
2022-02-01,Minnesota,4.015208107128602,0.1
2022-02-01,Mississippi,6.744054940396991,0.2
2022-02-01,Missouri,4.487649539378633,0.1
2022-02-01,Montana,4.060393817235225,0.2
2022-02-01,Nebraska,3.265095482057171,0.1
2022-02-01,Nevada,7.138136551637174,0.2
2022-02-01,New Hampshire,3.771991613230133,0.2
2022-02-01,New Jersey,6.2362773975947325,0.1
2022-02-01,New Mexico,6.574239274407837,0.3
2022-02-01,New York,6.257740881420094,0.1
2022-02-01,North Carolina,5.276013567510914,0.1
2022-02-01,North Dakota,3.178816611276084,0.2
2022-02-01,Ohio,5.27598124001966,0.1
2022-02-01,Oklahoma,4.977356587220465,0.1
2022-02-01,Oregon,5.6030894023307924,0.2
2022-02-01,Pennsylvania,5.497712850900854,0.1
2022-02-01,Puerto Rico,14.488217024633103,0.3
2022-02-01,Rhode Island,6.053397762825012,0.3
2022-02-01,South Carolina,5.274082505758532,0.1
2022-02-01,South Dakota,3.1430524766011705,0.2
2022-02-01,Tennessee,5.274254009330975,0.1
2022-02-01,Texas,5.38775136465296,0.1
2022-02-01,Utah,3.4759273210930672,0.1
2022-02-01,Vermont,3.890679316671611,0.3
2022-02-01,Virginia,4.583203451227403,0.1
2022-02-01,Washington,5.126380419979577,0.1
2022-02-01,West Virginia,6.365164987489186,0.2
2022-02-01,Wisconsin,3.4751826506315457,0.1
2022-02-01,Wyoming,4.151455996122414,0.3
2022-03-01,Alabama,5.349919818046341,0.2
2022-03-01,Alaska,6.7822673556497675,0.3
2022-03-01,Arizona,5.534929948956157,0.1
2022-03-01,Arkansas,5.286689263899719,0.2
2022-03-01,California,6.534961324727722,0.1
2022-03-01,Colorado,4.558818512459026,0.1
2022-03-01,Connecticut,6.091622028775872,0.2
2022-03-01,Delaware,5.616911943589905,0.3
2022-03-01,District of Columbia,7.076038529261611,0.4
2022-03-01,Florida,5.252103637834069,0.1
2022-03-01,Georgia,5.445553577653718,0.1
2022-03-01,Hawaii,5.2863827189457835,0.2
2022-03-01,Idaho,3.939978159323865,0.2
2022-03-01,Illinois,6.200610678769925,0.1
2022-03-01,Indiana,4.676877290322901,0.1
2022-03-01,Iowa,3.869788131707817,0.1
2022-03-01,Kansas,4.084630880078775,0.1
2022-03-01,Kentucky,5.266327286522905,0.1
2022-03-01,Louisiana,6.804427298459846,0.2
2022-03-01,Maine,4.220369257257991,0.2
2022-03-01,Maryland,5.282801910612558,0.1
2022-03-01,Massachusetts,5.416924128355562,0.1
2022-03-01,Michigan,6.202963887452418,0.1
2022-03-01,Minnesota,4.020658154953872,0.1
2022-03-01,Mississippi,6.714838395931362,0.2
2022-03-01,Missouri,4.479010940886952,0.1
2022-03-01,Montana,4.040257128500951,0.2
2022-03-01,Nebraska,3.2470577508326945,0.1
2022-03-01,Nevada,7.150251083618058,0.2
2022-03-01,New Hampshire,3.7563628691364426,0.2
2022-03-01,New Jersey,6.249794092949523,0.1
2022-03-01,New Mexico,6.5564889504827635,0.3
2022-03-01,New York,6.2801698463397795,0.1
2022-03-01,North Carolina,5.262849981578286,0.1
2022-03-01,North Dakota,3.1640025984529063,0.2
2022-03-01,Ohio,5.2605710793141505,0.1
2022-03-01,Oklahoma,4.966355063658172,0.1
2022-03-01,Oregon,5.602236456942756,0.2
2022-03-01,Pennsylvania,5.494459659338736,0.1
2022-03-01,Puerto Rico,14.421349624915738,0.3
2022-03-01,Rhode Island,6.072325335514751,0.3
2022-03-01,South Carolina,5.26228898154359,0.1
2022-03-01,South Dakota,3.118075903655265,0.2
2022-03-01,Tennessee,5.25807276349659,0.1
2022-03-01,Texas,5.378488581015888,0.1
2022-03-01,Utah,3.464287732295329,0.1
2022-03-01,Vermont,3.8842861544714373,0.3
2022-03-01,Virginia,4.5725799919539245,0.1
2022-03-01,Washington,5.135255607470458,0.1
2022-03-01,West Virginia,6.34559578547543,0.2
2022-03-01,Wisconsin,3.4632106196634855,0.1
2022-03-01,Wyoming,4.124873851534208,0.3
2022-04-01,Alabama,5.3332319675054976,0.2
2022-04-01,Alaska,6.741039224920199,0.3
2022-04-01,Arizona,5.514281812013711,0.1
2022-04-01,Arkansas,5.277493587942361,0.2
2022-04-01,California,6.539506662371837,0.1
2022-04-01,Colorado,4.545469329330917,0.1
2022-04-01,Connecticut,6.083729577119128,0.2
2022-04-01,Delaware,5.588293617575387,0.3
2022-04-01,District of Columbia,7.069707967856654,0.4
2022-04-01,Florida,5.232782870545786,0.1
2022-04-01,Georgia,5.424502300638775,0.1
2022-04-01,Hawaii,5.30229123975368,0.2
2022-04-01,Idaho,3.920663747095849,0.2
2022-04-01,Illinois,6.194352265506671,0.1
2022-04-01,Indiana,4.665830055914383,0.1
2022-04-01,Iowa,3.8593370948997583,0.1
2022-04-01,Kansas,4.078101260741563,0.1
2022-04-01,Kentucky,5.253233507900561,0.1
2022-04-01,Louisiana,6.799177226694916,0.2
2022-04-01,Maine,4.219331011644669,0.2
2022-04-01,Maryland,5.272579205515136,0.1
2022-04-01,Massachusetts,5.416704083254437,0.1
2022-04-01,Michigan,6.197327186112686,0.1
2022-04-01,Minnesota,4.024634507003412,0.1
2022-04-01,Mississippi,6.684684589424339,0.2
2022-04-01,Missouri,4.468527411689184,0.1
2022-04-01,Montana,4.020275678499968,0.2
2022-04-01,Nebraska,3.228873008460097,0.1
2022-04-01,Nevada,7.157354456327026,0.2
2022-04-01,New Hampshire,3.739895775303355,0.2
2022-04-01,New Jersey,6.259986606395446,0.1
2022-04-01,New Mexico,6.535116895425125,0.3
2022-04-01,New York,6.297646818088807,0.1
2022-04-01,North Carolina,5.248837507575512,0.1
2022-04-01,North Dakota,3.1463440256984896,0.2
2022-04-01,Ohio,5.242746648416901,0.1
2022-04-01,Oklahoma,4.95573775948885,0.1
2022-04-01,Oregon,5.599617446801705,0.2
2022-04-01,Pennsylvania,5.489786038472672,0.1
2022-04-01,Puerto Rico,14.345755575202121,0.3
2022-04-01,Rhode Island,6.0852606710704995,0.3
2022-04-01,South Carolina,5.251338169260046,0.1
2022-04-01,South Dakota,3.096184846102458,0.2
2022-04-01,Tennessee,5.239588283729023,0.1
2022-04-01,Texas,5.367126304889221,0.1
2022-04-01,Utah,3.4531242442844654,0.1
2022-04-01,Vermont,3.8769247187391995,0.3
